Unnamed: 0,OBJECTID,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstPKW,IstKrad,IstGkfz,IstFuss,IstSonstige,lat,lon,alone,not_alone,UTYP2,weekend
802,197632,2,13,5,3,0,6,0,0,0,0,0,0,1,52.506394718957175,13.283332520296854,0,1,6,0
803,197633,1,10,2,3,6,4,0,0,0,0,0,1,0,52.48981211427676,13.388854062519266,0,1,4,0
804,197634,2,9,5,3,5,7,0,0,1,0,0,0,0,52.49212838450108,13.396656050342068,0,1,7,0
805,197636,2,10,5,2,6,7,0,0,0,0,0,1,0,52.440262443811605,13.299667315342958,0,1,7,0
806,197638,1,9,2,3,2,7,0,0,0,0,0,0,1,52.514367259214715,13.442365867113063,0,1,7,0
807,197640,2,10,5,2,5,3,0,0,0,0,0,0,0,52.56384260393603,13.452040519299073,1,0,2,0
808,197643,1,23,7,3,5,7,2,0,1,0,0,0,0,52.47701959649884,13.441233612798063,0,1,7,1
809,197648,2,19,5,3,2,6,2,0,1,0,0,0,0,52.50368891867029,13.331082943246255,0,1,6,0
810,197649,1,7,2,2,0,3,0,0,0,0,0,0,0,52.52964251396529,13.436660778953714,1,0,2,0
811,197652,2,19,5,3,5,7,2,0,1,0,0,0,0,52.509790600074034,13.436385932298727,0,1,7,0
812,197655,2,18,5,3,5,2,2,0,1,0,0,0,0,52.52689386281957,13.41532818860743,0,1,2,0
813,197656,1,7,2,3,5,2,0,0,1,0,0,0,0,52.454667796299475,13.143348492679458,0,1,2,0
814,197662,1,11,6,3,4,6,0,0,0,0,0,0,1,52.491224648291826,13.533254553480766,0,1,6,0
815,197674,2,7,4,3,5,2,0,1,1,0,0,0,0,52.57392132894503,13.40769829077198,0,1,2,0
816,197679,2,1,7,3,4,6,2,2,0,0,0,0,1,52.44328974107335,13.30742305199353,0,1,6,1
817,197680,2,12,3,3,5,2,0,1,1,0,0,0,0,52.496521011176995,13.315781607364787,0,1,2,0
818,197682,2,11,6,3,5,7,0,0,1,0,0,0,0,52.52631296717786,13.345502316673453,0,1,7,0
819,197683,2,10,2,3,6,7,0,0,0,0,0,1,0,52.52221903625791,13.404367867516855,0,1,7,0
820,197685,2,6,2,3,5,3,1,1,0,0,0,0,0,52.49662682759365,13.405242702563696,1,0,2,0
821,197698,2,15,6,3,5,3,0,0,1,0,0,0,0,52.52512891799793,13.413685865796694,0,1,2,0
822,197699,2,7,6,3,5,2,1,0,1,0,0,0,0,52.54634550229513,13.515913600242927,0,1,2,0
823,197702,2,14,2,3,1,5,0,0,1,0,0,0,0,52.496620939926004,13.292675959453788,0,1,5,0
824,197703,2,22,6,2,0,1,2,0,0,0,0,0,0,52.5324954592082,13.403684195377537,1,0,1,0
825,197704,2,21,6,2,0,1,2,2,0,0,0,0,0,52.50978816386029,13.432044187211178,1,0,1,0
826,197711,2,6,6,3,2,6,2,0,1,0,0,0,0,52.44155353935216,13.584790354379301,0,1,6,0
827,197715,2,9,5,3,5,3,0,0,1,0,0,0,0,52.6074457643078,13.424481858233294,0,1,2,0
828,197717,2,8,5,3,5,3,0,0,1,0,0,0,0,52.53318004527917,13.404350980138672,0,1,2,0
829,197719,2,7,2,3,5,2,1,1,1,0,0,0,0,52.55472369807378,13.437309430161287,0,1,2,0
830,197723,2,12,2,3,5,3,0,0,1,0,0,0,0,52.525229399397055,13.177234691821536,0,1,2,0
831,197724,2,9,5,3,0,1,0,2,0,0,0,0,0,52.5139161160604,13.41772943192258,1,0,1,0
832,197730,2,15,5,3,5,3,0,0,1,0,0,0,0,52.543216366629544,13.490576066795152,0,1,2,0
833,197731,2,8,2,3,5,2,0,1,1,0,0,0,0,52.4195706704455,13.39854039190222,0,1,2,0
834,197737,2,6,3,3,1,5,1,1,1,0,0,0,0,52.46895729356146,13.32792742963606,0,1,5,0
835,197741,2,23,5,3,5,2,2,0,1,0,0,0,0,52.45131752037178,13.488369984451394,0,1,2,0
836,197743,2,19,4,3,2,6,2,0,1,0,0,0,0,52.51598732957253,13.310472521432764,0,1,6,0
837,197744,2,23,5,2,4,4,2,1,1,0,0,1,0,52.537399874650475,13.408499110786742,0,1,4,0
838,197746,2,18,4,3,5,3,2,0,1,0,0,0,0,52.50003431798593,13.407875543752482,0,1,2,0
839,197752,2,17,4,2,5,2,1,0,1,0,0,0,0,52.46477896702565,13.513527169482574,0,1,2,0
840,197757,2,16,4,3,3,6,0,0,1,0,0,0,0,52.528816736702225,13.408848415141161,0,1,6,0
841,197770,2,18,2,3,5,2,2,0,1,0,0,0,0,52.5554108407704,13.19816399794364,0,1,2,0
842,197772,2,8,4,3,5,3,0,0,1,0,0,0,0,52.5673340046541,13.314742164069832,0,1,2,0
843,197773,2,15,3,3,5,2,0,0,1,0,0,0,0,52.62020648075193,13.237613318886547,0,1,2,0
844,197774,2,13,3,3,5,3,0,0,1,0,0,0,0,52.41774134269304,13.495812865530448,0,1,2,0
845,197778,2,6,4,2,5,3,2,0,1,0,0,0,0,52.55440871079239,13.345294863271807,0,1,2,0
846,197779,2,20,3,3,5,2,2,0,0,0,0,0,1,52.55451188414227,13.431687078272578,0,1,2,0
847,197781,2,18,2,3,5,3,2,0,1,0,0,0,0,52.605382187309466,13.41728648818058,0,1,2,0
848,197786,2,17,6,3,5,2,2,0,1,0,0,0,0,52.53922426718348,13.198012885516805,0,1,2,0
849,197787,2,23,3,3,5,3,2,0,1,0,0,0,0,52.52519642273643,13.413187912322734,0,1,2,0
850,197788,2,16,3,3,1,5,0,0,1,0,0,0,1,52.49993980287058,13.436198021349776,0,1,5,0
851,197789,2,15,3,3,5,3,0,0,0,0,0,0,1,52.5070334488134,13.379295921359596,0,1,2,0
852,197790,2,14,3,3,5,3,0,0,1,0,0,0,0,52.552499319520976,13.427378445804004,0,1,2,0
853,197794,2,19,2,3,1,5,2,0,1,0,0,0,1,52.50430426751154,13.387161647131682,0,1,5,0
854,197795,2,6,3,3,5,3,1,0,1,0,0,0,0,52.536107030986784,13.602151565480444,0,1,2,0
855,197796,2,13,3,2,1,5,0,0,1,0,0,0,0,52.525006908015136,13.554981110095973,0,1,5,0
856,197798,2,8,4,2,6,4,0,0,0,0,0,1,0,52.55575612494847,13.383884335925755,0,1,4,0
857,197801,2,7,3,3,6,7,0,0,0,0,0,1,0,52.55546734873894,13.335275866952035,0,1,7,0
